Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
B_pol_1	36275394	36275394	1689437	21065614	13520343	564049	440866	571321	1238589	99.39	619294.5	220433.0	285660.5
B_pol_2	39010393	39010393	1540606	22178602	15291185	425133	491799	560973	1178174	99.37	589087.0	245899.5	280486.5
B_pol_3	41157396	41157396	2310871	23461263	15385262	749364	571697	786681	1764636	99.31	882318.0	285848.5	393340.5
B_sub_1	37052242	37052242	2386072	21717608	12948562	799214	909721	698441	1565554	98.77	782777.0	454860.5	349220.5
B_sub_2	32317379	32317379	1585121	18806092	11926166	458271	717201	516264	1020235	98.89	510117.5	358600.5	258132.0
B_sub_3	33564098	33564098	1928465	19765977	11869656	511000	945471	672415	1217044	98.59	608522.0	472735.5	336207.5
B_tot_1	38845412	38845412	1454544	23389230	14001638	458198	581832	459138	951722	99.25	475861.0	290916.0	229569.0
B_tot_2	36518083	36518083	1862703	21794515	12860865	677172	537940	554748	1278374	99.26	639187.0	268970.0	277374.0
B_tot_3	34564703	34564703	1724185	20675885	12164633	575164	554508	555825	1187709	99.2	593854.5	277254.0	277912.5
P_pol_1	30299187	30299187	1290488	17431644	11577055	426833	355028	423765	948517	99.41	474258.5	177514.0	211882.5
P_pol_2	36102002	36102002	1696963	21477369	12927670	603444	395481	542191	1249366	99.45	624683.0	197740.5	271095.5
P_pol_3	34087927	34087927	1403716	20431594	12252617	462390	449019	447674	985959	99.34	492979.5	224509.5	223837.0
P_sub_1	28213125	28213125	1154633	17804121	9254371	369658	466578	378800	724572	99.17	362286.0	233289.0	189400.0
P_sub_2	38135548	38135548	1863268	23572768	12699512	616488	612946	635165	1245449	99.2	622724.5	306473.0	317582.5
P_sub_3	33166881	33166881	1704494	20335281	11127106	527210	571860	603164	1179544	99.14	589772.0	285930.0	301582.0
P_tot_1	45163352	45163352	1491969	28227565	15443818	521345	538221	460921	942106	99.4	471053.0	269110.5	230460.5
P_tot_2	41932131	41932131	2052625	25943210	13936296	694225	557038	718433	1441329	99.34	720664.5	278519.0	359216.5
P_tot_3	31708222	31708222	1559757	19128093	11020372	514674	388274	569425	1132467	99.39	566233.5	194137.0	284712.5
