Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
B_pol_1	36275394	33447418	285895	0	982469	0	0	0	0	0	1559612	0	0	92.20414807899813
B_pol_2	39010393	36143011	312030	0	946128	0	0	0	0	0	1609224	0	0	92.6496972229939
B_pol_3	41157396	37648684	376797	0	1348464	0	0	0	0	0	1783451	0	0	91.47489311520097
B_sub_1	37052242	33695368	572709	0	1033617	0	0	0	0	0	1750548	0	0	90.94015957253005
B_sub_2	32317379	29689927	446090	0	769594	0	0	0	0	0	1411768	0	0	91.86984810866005
B_sub_3	33564098	30339080	584830	0	996300	0	0	0	0	0	1643888	0	0	90.39146530915265
B_tot_1	38845412	36179445	353674	0	769803	0	0	0	0	0	1542490	0	0	93.13698359023712
B_tot_2	36518083	33755601	347395	0	937567	0	0	0	0	0	1477520	0	0	92.43530390135759
B_tot_3	34564703	31852661	343920	0	963522	0	0	0	0	0	1404600	0	0	92.15372398831259
P_pol_1	30299187	28284674	222894	0	732823	0	0	0	0	0	1058796	0	0	93.35126384744251
P_pol_2	36102002	33638997	259922	0	907788	0	0	0	0	0	1295295	0	0	93.17764981565288
P_pol_3	34087927	31804168	281811	0	735188	0	0	0	0	0	1266760	0	0	93.30038755363445
P_sub_1	28213125	26247855	284916	0	610761	0	0	0	0	0	1069593	0	0	93.03419950820762
P_sub_2	38135548	35327341	391121	0	1028093	0	0	0	0	0	1388993	0	0	92.63624846822707
P_sub_3	33166881	30587310	366033	0	959218	0	0	0	0	0	1254320	0	0	92.22244925593094
P_tot_1	45163352	42474277	338444	0	736323	0	0	0	0	0	1614308	0	0	94.04589145641803
P_tot_2	41932131	38813302	360044	0	1231865	0	0	0	0	0	1526920	0	0	92.56219770943672
P_tot_3	31708222	29373973	254503	0	993725	0	0	0	0	0	1086021	0	0	92.63834787078254
