Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
B_pol_1	0.893917	0.866946	6281960337.0	0.47407	97.51780302236044	0.6325725011115968	99.39	0.126112	48.07695362979504	186	68.37660683594251	63.22119963034164	60.89074732942561	55.407634525162706	51.188028559316685	55	99.39233464976287	72109922.0	72550788.0	1.5699999999999998	0.88	34585957.0	92.20414807899813	33447418
B_pol_2	0.9632919999999999	0.868503	6766472431.0	0.477408	96.55807709336037	0.7972408974508851	99.37	0.154915	48.45101393231485	177	68.08828293373705	62.9420442948383	60.482949416338165	54.58928664137848	49.91923082816256	49	99.36965644001587	77528987.0	78020786.0	1.58	1.04	37469787.0	92.6496972229939	36143011
B_pol_3	0.923801	0.864396	7103900299.0	0.474209	95.94445164125163	0.6271541515769746	99.31	0.145572	48.14110073509508	189	68.82650875112171	63.4474435591414	60.99207759473537	55.15724686933612	50.59600890159232	52	99.30547476813159	81743095.0	82314792.0	1.59	0.89	38846525.0	91.47489311520097	37648684
B_sub_1	1.12249	0.865156	6402429208.0	0.464573	95.88782574429489	0.6608742882635978	98.77	0.141332	47.209179178371066	190	70.09048170380035	63.061701776227565	59.52620526610934	51.477609482430196	45.94136461098872	34	98.77238062949066	73194763.0	74104484.0	1.55	0.86	34666170.0	90.94015957253005	33695368
B_sub_2	1.02221	0.868991	5609099668.0	0.464268	97.71439822626728	0.6849028656133922	98.89	0.13738	47.17562404305275	186	69.55792384575605	62.76875640070336	59.26034410439095	50.35819393417743	44.00998049807681	30	98.89037876493634	63917557.0	64634758.0	1.6099999999999999	1.01	30732258.0	91.86984810866005	29689927
B_sub_3	0.9684919999999999	0.870492	5834526406.0	0.46398	96.27393646925462	0.8513609797401953	98.59	0.143392	47.23430153166283	183	70.5250737489456	64.04304585042027	60.63040515891298	52.10150342179934	45.58243431545096	36	98.59154415530547	66182725.0	67128196.0	1.5599999999999998	0.84	31635633.0	90.39146530915265	30339080
B_tot_1	0.896943	0.867112	6727858260.0	0.476978	96.05821048505852	0.6871136971447436	99.25	0.12045	48.33961588485295	182	69.7898528809506	64.75745521249381	62.58958753301044	58.166083850286284	55.09274954803032	87	99.25109302483392	77108992.0	77690824.0	1.49	1.25	37390868.0	93.13698359023712	36179445
B_tot_2	0.8172429999999999	0.864121	6302770465.0	0.47369	97.39551209285298	0.500418379956637	99.26	0.110262	48.02281697302987	195	69.7236795317674	64.63268287088104	62.5488769150416	58.23787536392243	55.1291188571037	84	99.26346079009679	72498226.0	73036166.0	1.5	1.1	34655380.0	92.43530390135759	33755601
B_tot_3	0.671504	0.866483	5981191416.0	0.473448	95.89212261291343	0.6395461679386365	99.2	0.106464	48.02296106172116	188	69.64070623451131	64.59615984327453	62.50976794501478	58.077031232977845	54.83254126140139	80	99.19786957232064	68574898.0	69129406.0	1.53	1.13	32840518.0	92.15372398831259	31852661
P_pol_1	0.801472	0.8654	5237398869.0	0.486096	95.73157170719342	0.5197479152627108	99.41	0.149839	49.28702550455958	187	65.24323304984165	59.44812368927058	56.16524623304057	49.189707463218255	44.239524416676595	27	99.41412949462968	60243346.0	60598374.0	1.5	1.11	29008699.0	93.35126384744251	28284674
