Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
B_pol_1	Unknown Library	130924.0	35989499.0	0.0	440866.0	109501.0	4492207.0	4494.0	0.126112	132011576.0
B_pol_2	Unknown Library	132261.0	38698363.0	0.0	491799.0	112557.0	5948908.0	4529.0	0.154915	112676797.0
B_pol_3	Unknown Library	181897.0	40780599.0	0.0	571697.0	156665.0	5871432.0	5072.0	0.145572	127764543.0
B_sub_1	Unknown Library	235697.0	36479533.0	0.0	909721.0	209166.0	5067791.0	4778.0	0.141332	118922480.0
B_sub_2	Unknown Library	174979.0	31871289.0	0.0	717201.0	152381.0	4314294.0	4119.0	0.13738	106923709.0
B_sub_3	Unknown Library	224189.0	32979268.0	0.0	945471.0	199579.0	4645232.0	4197.0	0.143392	105874869.0
B_tot_1	Unknown Library	125516.0	38491738.0	0.0	581832.0	105729.0	4591015.0	4554.0	0.12045	148380697.0
B_tot_2	Unknown Library	156850.0	36170688.0	0.0	537940.0	132181.0	3930802.0	4512.0	0.110262	154281333.0
B_tot_3	Unknown Library	133332.0	34220783.0	0.0	554508.0	110756.0	3595010.0	4425.0	0.106464	151414871.0
P_pol_1	Unknown Library	90760.0	30076293.0	0.0	355028.0	76247.0	4475289.0	3481.0	0.149839	90824902.0
P_pol_2	Unknown Library	124363.0	35842080.0	0.0	395481.0	107834.0	5616236.0	4347.0	0.157924	102143754.0
P_pol_3	Unknown Library	114603.0	33806116.0	0.0	449019.0	98329.0	4957512.0	4234.0	0.147849	103768113.0
P_sub_1	Unknown Library	103254.0	27928209.0	0.0	466578.0	85510.0	2968472.0	3342.0	0.107621	122011709.0
P_sub_2	Unknown Library	169296.0	37744427.0	0.0	612946.0	145947.0	4996111.0	4863.0	0.134	129798593.0
P_sub_3	Unknown Library	160206.0	32800848.0	0.0	571860.0	136899.0	3846733.0	4058.0	0.119071	128798192.0
P_tot_1	Unknown Library	138667.0	44824908.0	0.0	538221.0	122793.0	6490961.0	5401.0	0.145951	139535253.0
P_tot_2	Unknown Library	163050.0	41572087.0	0.0	557038.0	143319.0	5196831.0	5215.0	0.126483	152238352.0
P_tot_3	Unknown Library	120732.0	31453719.0	0.0	388274.0	101746.0	3536993.0	3914.0	0.11385	129283403.0
