Module	Section	Sample Name	Source
fastp	all_sections	B_pol_1	/cluster/majf_lab/mtinti/polisome/B_pol_1/res3/B_pol_1/fastp/B_pol_1__fastp.json
fastp	all_sections	B_pol_2	/cluster/majf_lab/mtinti/polisome/B_pol_2/res3/B_pol_2/fastp/B_pol_2__fastp.json
fastp	all_sections	B_pol_3	/cluster/majf_lab/mtinti/polisome/B_pol_3/res3/B_pol_3/fastp/B_pol_3__fastp.json
fastp	all_sections	B_sub_1	/cluster/majf_lab/mtinti/polisome/B_sub_1/res3/B_sub_1/fastp/B_sub_1__fastp.json
fastp	all_sections	B_sub_2	/cluster/majf_lab/mtinti/polisome/B_sub_2/res3/B_sub_2/fastp/B_sub_2__fastp.json
fastp	all_sections	B_sub_3	/cluster/majf_lab/mtinti/polisome/B_sub_3/res3/B_sub_3/fastp/B_sub_3__fastp.json
fastp	all_sections	B_tot_1	/cluster/majf_lab/mtinti/polisome/B_tot_1/res3/B_tot_1/fastp/B_tot_1__fastp.json
fastp	all_sections	B_tot_2	/cluster/majf_lab/mtinti/polisome/B_tot_2/res3/B_tot_2/fastp/B_tot_2__fastp.json
fastp	all_sections	B_tot_3	/cluster/majf_lab/mtinti/polisome/B_tot_3/res3/B_tot_3/fastp/B_tot_3__fastp.json
fastp	all_sections	P_pol_1	/cluster/majf_lab/mtinti/polisome/P_pol_1/res3/P_pol_1/fastp/P_pol_1__fastp.json
fastp	all_sections	P_pol_2	/cluster/majf_lab/mtinti/polisome/P_pol_2/res3/P_pol_2/fastp/P_pol_2__fastp.json
fastp	all_sections	P_pol_3	/cluster/majf_lab/mtinti/polisome/P_pol_3/res3/P_pol_3/fastp/P_pol_3__fastp.json
fastp	all_sections	P_sub_1	/cluster/majf_lab/mtinti/polisome/P_sub_1/res3/P_sub_1/fastp/P_sub_1__fastp.json
fastp	all_sections	P_sub_2	/cluster/majf_lab/mtinti/polisome/P_sub_2/res3/P_sub_2/fastp/P_sub_2__fastp.json
fastp	all_sections	P_sub_3	/cluster/majf_lab/mtinti/polisome/P_sub_3/res3/P_sub_3/fastp/P_sub_3__fastp.json
fastp	all_sections	P_tot_1	/cluster/majf_lab/mtinti/polisome/P_tot_1/res3/P_tot_1/fastp/P_tot_1__fastp.json
fastp	all_sections	P_tot_2	/cluster/majf_lab/mtinti/polisome/P_tot_2/res3/P_tot_2/fastp/P_tot_2__fastp.json
fastp	all_sections	P_tot_3	/cluster/majf_lab/mtinti/polisome/P_tot_3/res3/P_tot_3/fastp/P_tot_3__fastp.json
Bowtie 2	all_sections	B_pol_1	/cluster/majf_lab/mtinti/polisome/B_pol_1/res3/B_pol_1/bowtie/B_pol_1.log
Bowtie 2	all_sections	B_pol_2	/cluster/majf_lab/mtinti/polisome/B_pol_2/res3/B_pol_2/bowtie/B_pol_2.log
Bowtie 2	all_sections	B_pol_3	/cluster/majf_lab/mtinti/polisome/B_pol_3/res3/B_pol_3/bowtie/B_pol_3.log
Bowtie 2	all_sections	B_sub_1	/cluster/majf_lab/mtinti/polisome/B_sub_1/res3/B_sub_1/bowtie/B_sub_1.log
Bowtie 2	all_sections	B_sub_2	/cluster/majf_lab/mtinti/polisome/B_sub_2/res3/B_sub_2/bowtie/B_sub_2.log
Bowtie 2	all_sections	B_sub_3	/cluster/majf_lab/mtinti/polisome/B_sub_3/res3/B_sub_3/bowtie/B_sub_3.log
Bowtie 2	all_sections	B_tot_1	/cluster/majf_lab/mtinti/polisome/B_tot_1/res3/B_tot_1/bowtie/B_tot_1.log
Bowtie 2	all_sections	B_tot_2	/cluster/majf_lab/mtinti/polisome/B_tot_2/res3/B_tot_2/bowtie/B_tot_2.log
Bowtie 2	all_sections	B_tot_3	/cluster/majf_lab/mtinti/polisome/B_tot_3/res3/B_tot_3/bowtie/B_tot_3.log
Bowtie 2	all_sections	P_pol_1	/cluster/majf_lab/mtinti/polisome/P_pol_1/res3/P_pol_1/bowtie/P_pol_1.log
Bowtie 2	all_sections	P_pol_2	/cluster/majf_lab/mtinti/polisome/P_pol_2/res3/P_pol_2/bowtie/P_pol_2.log
Bowtie 2	all_sections	P_pol_3	/cluster/majf_lab/mtinti/polisome/P_pol_3/res3/P_pol_3/bowtie/P_pol_3.log
Bowtie 2	all_sections	P_sub_1	/cluster/majf_lab/mtinti/polisome/P_sub_1/res3/P_sub_1/bowtie/P_sub_1.log
